"","x","y","phy_con","age_bsm_mean","age_bsm_sd","DR_jetz","DR_insitu_bsm_mean","DR_insitu_bsm_sd","DR_prop_bsm_mean","DR_prop_bsm_sd"
"3443",-43.250139436,-8.250139216,"B",8.48162884613551,4.99211983676339,0.0895018865560434,0.141514770455646,0.0200318048268215,0.696000379377945,0.0620474682433463
"3444",-42.750139438,-8.250139216,"B",7.95347713812126,4.75566528808966,0.0900526104044002,0.173503608907547,0.0518144793606581,0.665776997094288,0.0793719400468982
"3445",-42.25013944,-8.250139216,"B",8.75580777277121,5.1427199204606,0.0851916080409281,0.139442253675173,0.0275915107690791,0.680398729528557,0.0741760125281005
"3446",-41.750139442,-8.250139216,"B",10.6354558128784,4.59261682644366,0.0847970743634301,0.115245957407778,0.0176051954831987,0.684469608545073,0.0655710556724404
"3447",-42.25013944,-8.750139214,"B",12.7625269754541,5.51114019173239,0.0873952707042331,0.115245957407778,0.0176051954831987,0.782361384974175,0.0749489258393143
"3448",-41.750139442,-8.750139214,"B",10.6354558128784,4.59261682644366,0.0847970743634301,0.115245957407778,0.0176051954831987,0.684469608545073,0.0655710556724404
"3449",-44.250139432,-9.250139212,"A",6.70981816340101,4.01869353014762,0.0972708934024659,1.23055499103691,2.6178367044035,0.131654285552316,0.0845529375418837
"3450",-42.750139438,-9.250139212,"B",10.6354558128784,4.59261682644366,0.0847970743634301,0.115245957407778,0.0176051954831987,0.684469608545073,0.0655710556724404
"3451",-39.75013945,-9.250139212,"C",5.74567450945355,2.41755419276819,0.0875068840618719,0.0982472413995648,0.0156647288021469,0.294886660575751,0.033529749145432
"3452",-39.250139452,-9.250139212,"A",7.30502944030371,4.10022975241115,0.106234398491058,0.242221655917206,0.0667558208293437,0.440422955596839,0.0703047545355044
"3453",-44.75013943,-9.75013921,"A",5.9603760359274,3.4744269782101,0.0909467778544703,0.318049108186755,0.368601491972833,0.176744420375533,0.0819458231348323
"3454",-43.250139436,-9.75013921,"A",7.06113209109033,3.25165242576134,0.0875617980809496,0.144711327110161,0.0293841922358806,0.267335858197357,0.0719571265749461
"3455",-42.750139438,-9.75013921,"A",7.06113209109033,3.25165242576134,0.0875617980809496,0.144711327110161,0.0293841922358806,0.267335858197357,0.0719571265749461
